satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C01,2024-10-03 00:00:00,0.000927362008952,3.11928260999e-12,0.0,1.0,-624.453125,2.1875911219500005e-09,-1.76319235055,-2.02637165785e-05,0.000329926842824,2.43014656007e-05,6493.3869705199995,345600.0,1.1175870895399999e-07,2.86067243886,-8.80099833012e-08,0.0783178518757,-748.765625,1.4924941179,-1.20933608799e-09,-2.83226083217e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,345600.0,0.0
C01,2024-10-03 01:00:00,0.0009273733012379999,3.11839443157e-12,0.0,1.0,-97.8125,9.800408226340001e-10,-1.51055347294,-3.2158568501499997e-06,0.000329364440404,3.2433308661000004e-05,6493.37901306,349200.0,4.9360096454600006e-08,-3.13197526629,-1.3364478945699998e-07,0.0707209402339,-1002.1249999999999,1.21203283081,6.17882880159e-11,-3.00012496725e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,349200.0,0.0
C01,2024-10-03 02:00:00,0.0009273841278630001,3.0704327969e-12,0.0,1.0,528.375,-4.96806408267e-10,-1.24646899344,1.7047859728300003e-05,0.000329677714035,2.7530360966900002e-05,6493.38047028,352800.0,-9.220093488690001e-08,-2.80573219783,-1.22003257275e-07,0.0641118713396,-849.6874999999999,0.884489077492,1.5339924683700001e-09,-2.8179745228100003e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,352800.0,0.0
C01,2024-10-03 03:00:00,0.000927394838072,3.03490566012e-12,0.0,1.0,930.234375,-2.5172477106100003e-09,-0.9740771990480002,3.0141323804900002e-05,0.000332530937158,8.09738412499e-06,6493.39094162,356400.0,-1.6670674085599998e-07,-2.44147564195,-3.4924596548100006e-08,0.059340975104100004,-246.17187500000003,0.5106737066270001,3.48371653935e-09,-2.16794744657e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,356400.0,0.0
C01,2024-10-03 04:00:00,0.0009274058975279999,3.0411229090499996e-12,0.0,1.0,793.21875,-4.5048305014200005e-09,-0.70426548305,2.5846529752e-05,0.00033613888081200004,-1.6416423022700002e-05,6493.40145683,360000.0,-1.2340024113700002e-07,-2.04857504328,3.1664967536900005e-08,0.057225854498,510.46875,0.110820310374,5.403439360650001e-09,-9.678974596710001e-11,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,360000.0,0.0
C01,2024-10-03 05:00:00,0.0009274167241530001,3.02602387592e-12,0.0,1.0,178.625,-5.219860285280001e-09,-0.440541665529,5.981884896759999e-06,0.000337195466273,-3.0056573450600002e-05,6493.40419388,363600.0,-5.448237061500001e-08,-1.65043129648,3.3061951398799995e-08,0.058202334760900004,926.8750000000001,-0.288186010961,6.1034685196800005e-09,5.5359448800399995e-11,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,363600.0,0.0
C01,2024-10-03 06:00:00,0.0009274275507780001,3.0206948054e-12,0.0,1.0,-472.296875,-4.22660462648e-09,-0.178427251,-1.5244353562600001e-05,0.000334289623424,-2.5875866413100002e-05,6493.397178650001,367200.0,-1.72294676304e-08,-1.2735206221,3.67872416973e-08,0.0620627210243,793.515625,-0.664369894473,5.15985778593e-09,1.9179370326300002e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,367200.0,0.0
C01,2024-10-03 07:00:00,0.000927438028157,2.9620750296999996e-12,0.0,1.0,-807.9375000000001,-2.5526063263e-09,0.0873948182193,-2.6369467377700003e-05,0.00032901787199100005,-1.0562129318700001e-05,6493.38419533,370800.0,-7.91624188423e-09,-0.9328393055990001,2.7939677238499997e-08,0.0680874185143,321.03125,-1.00807256252,3.57764902344e-09,2.9679807711700004e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,370800.0,0.0
C01,2024-10-03 08:00:00,0.0009274489711970001,2.9967139880699997e-12,0.0,1.0,-797.515625,-9.31824528518e-10,0.356186372684,-2.61934474111e-05,0.000324919703417,6.153248250479999e-06,6493.37314415,374400.0,-2.70083546638e-08,-0.629624939092,1.44354999065e-08,0.0754071700856,-190.046875,-1.31733618745,2.03294182304e-09,3.6965825489300003e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,374400.0,0.0
C01,2024-10-03 09:00:00,0.000927460030653,3.04556380115e-12,0.0,1.0,-568.265625,3.4179995162600003e-10,0.621748577912,-1.87586992979e-05,0.000323752872646,1.8710270524e-05,6493.3694610600005,378000.0,-6.42612576485e-08,-0.357973164733,-1.8626451492300002e-09,0.0832523403884,-571.5,-1.59188147186,7.832469110920001e-10,4.1751739127500004e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,378000.0,0.0
C01,2024-10-03 10:00:00,0.000927471439354,3.09174907898e-12,0.0,1.0,-248.671875,1.26969574507e-09,0.8794082503580001,-8.28690826893e-06,0.000324690481648,2.54078768194e-05,6493.3738842,381600.0,-1.0384246706999999e-07,-0.110546901225,-1.76951289177e-08,0.0910209547253,-773.546875,-1.8343834317,-1.71792870148e-10,4.4358990587199995e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,381600.0,0.0
C01,2024-10-03 11:00:00,0.0009274824988100001,3.08730818688e-12,0.0,1.0,75.578125,1.96222459167e-09,1.12991969545,2.37161293626e-06,0.000325908418745,2.64714471996e-05,6493.38375282,385200.0,-1.28988176584e-07,0.119041112689,-2.421438694e-08,0.0982602340989,-804.046875,-2.05198917224,-9.236099006310001e-10,4.4894727188400003e-10,0.0,977.9999999999999,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,385200.0,0.0
