satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I02,2024-10-15 23:50:24,0.0004550819285214,1.648459146963e-11,0.0,160.0,732.6875,4.518759653049e-09,0.04716576624348,2.4113804101940002e-05,0.002021412597969,-1.7106533050540003e-05,6493.477874755999,258624.0,1.4901161193850001e-07,-2.291069858221,-3.9115548133849997e-07,0.5095935186384,611.5625,-3.069173591697,-4.4130409637270004e-09,4.6180495031550005e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,258912.0
I02,2024-10-16 00:05:36,0.0004550977610052,1.773514668457e-11,0.0,161.0,725.0625,4.514473760239001e-09,0.1138100409422,2.3890286684040002e-05,0.002019508974627,-1.6581267118450002e-05,6493.47309494,259536.0,1.9371509551999997e-07,-2.29107377299,-3.688037395477e-07,0.5095942076728001,594.125,-3.069312418234,-4.373039297497e-09,4.582333729736e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,259920.00000000003
I02,2024-10-16 00:20:48,0.00045511312782760006,1.7166712495959998e-11,0.0,162.0,715.0625,4.508759236491e-09,0.1804804667644,2.3599714040760003e-05,0.002018147963099,-1.611188054085e-05,6493.469955443999,260448.0,2.3096799850459997e-07,-2.291077654112,-3.352761268616e-07,0.5095947562671,578.625,-3.06947725838,-4.334466262204e-09,4.539474801632e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,260736.0
I02,2024-10-16 00:36:00,0.0004551289603114,1.7053025658239997e-11,0.0,163.0,703.875,4.500187450871e-09,0.2472154116628,2.326443791389e-05,0.002016487298533,-1.5724450349810003e-05,6493.465637206999,261360.0,2.644956111908e-07,-2.291081426978,-2.9802322387700003e-07,0.509595399951,566.1875,-3.06970652105,-4.294464595974001e-09,4.482329564161e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,261552.0
I02,2024-10-16 00:50:24,0.00045514293015,1.614353095647e-11,0.0,164.0,693.1875,4.4873297724400005e-09,0.31043754207830004,2.294033765793e-05,0.002015443984419,-1.545250415802e-05,6493.463026047,262224.0,2.8684735298159994e-07,-2.291084923352,-2.533197402954e-07,0.509596007062,557.6875,-3.069923278696,-4.257320191617e-09,4.414469594664e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,262416.0
I02,2024-10-16 01:05:36,0.0004551559686661,1.52340362547e-11,0.0,165.0,683.125,4.468757570261001e-09,0.37714601693690003,2.262368798256e-05,0.002014612080529,-1.5262514352800004e-05,6493.460865021,263136.0,3.054738044739e-07,-2.291088605517,-2.011656761169e-07,0.5095965468788001,552.1875,-3.070125930885,-4.217318525387001e-09,4.3287517384570003e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,263328.0
I02,2024-10-16 01:20:48,0.00045518903061750007,1.830358087318e-11,0.0,166.0,675.5625,4.441613582462e-09,0.4433726197464,2.237781882286e-05,0.0020162959117439997,-1.516565680504e-05,6493.46752739,264048.0,3.129243850708e-07,-2.291091585481,-1.4901161193850001e-07,0.5095979951677,549.875,-3.069848157852,-4.178745490094001e-09,4.235890727566e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,264240.0
I02,2024-10-16 01:36:00,0.0004552048631012,1.466560206609e-11,0.0,167.0,671.1875,4.41161233279e-09,0.5107515645899,2.2213906049730003e-05,0.002012652694248,-1.5143305063250002e-05,6493.454689026,264960.0,3.054738044739e-07,-2.291095631912,-9.685754776001e-08,0.5095980185744,549.8125,-3.070720653898,-4.143029716675e-09,4.125171829965e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,265104.0
I02,2024-10-16 01:50:24,0.00045521743595600003,1.955413608812e-11,0.0,168.0,670.5625,4.380182452181e-09,0.5735653726257001,2.215430140495e-05,0.002013824880123,-1.5158206224440002e-05,6493.458637238,265824.0,2.9057264327999997e-07,-2.29109866893,-5.2154064178470006e-08,0.5095986783504001,550.9375,-3.070529549983,-4.111599836065001e-09,4.014452932364e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,266016.0
I02,2024-10-16 02:05:36,0.00045523094013330003,1.591615728103e-11,0.0,169.0,673.5,4.343038047824e-09,0.6400030335524001,2.2195279598240004e-05,0.002013881108724,-1.5188008546830001e-05,6493.458707809,266736.0,2.682209014893e-07,-2.291102020475,-1.117587089539e-08,0.5095992123155,552.25,-3.070461255116,-4.08302721733e-09,3.896590880079e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,266976.0
I02,2024-10-16 02:20:48,0.0004552467726171,2.148681232939e-11,0.0,170.0,679.9375,4.305893643468e-09,0.7063918710511001,2.2340565919880005e-05,0.002014318015426,-1.5199184417720002e-05,6493.459833145,267648.0,2.384185791016e-07,-2.291105534405,1.862645149231e-08,0.5095996043776,552.625,-3.070344389905,-4.0587404914040004e-09,3.775157250453e-10,0.0,2336.0,,2.0,0.0,-1.862645149231e-09,,267852.0
I02,2024-10-16 02:36:00,0.0004552612081170001,1.7848833522299998e-11,0.0,171.0,689.125,4.267320608170001e-09,0.7726508643300001,2.2575259208700002e-05,0.00201483478304,-1.5165656805000002e-05,6493.461412430001,268560.0,2.04890966415e-07,-2.29110873381,3.72529029846e-08,0.5096001368799999,551.25,-3.07009780629,-4.03873965829e-09,3.66443835285e-10,0.0,2336.0,,2.0,0.0,-1.8626451492300002e-09,,268716.0
