satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C01,2024-10-13 00:00:00,-0.000382579048164,3.12105896683e-12,0.0,1.0,413.04687500000006,4.3526813066500006e-09,-1.61716537176,1.37542374432e-05,0.00035527534782900003,1.36299058795e-05,6493.4425678299995,0.0,4.09781932831e-08,2.801038412,-1.41561031342e-07,0.0730330734807,-420.0,1.33784231978,-3.3129951424000003e-09,2.67511142913e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,0.0,0.0
C01,2024-10-13 01:00:00,-0.00038256787229300004,3.11306536105e-12,0.0,1.0,606.5,5.60630495368e-09,-1.36951796624,1.9948463887000003e-05,0.000353513052687,4.701316356659999e-06,6493.42916489,3600.0,-9.778887033460002e-09,3.11512768873,-7.17118382454e-08,0.0658830145549,-152.140625,1.03886393205,-4.48411535283e-09,1.7215002788300002e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,3600.0,0.0
C01,2024-10-13 02:00:00,-0.000382556696422,3.11040082579e-12,0.0,1.0,577.578125,7.11458206519e-09,-1.11333491064,1.8769409507500002e-05,0.000352114555426,-8.64593312144e-06,6493.42280197,7200.0,-7.49714672565e-08,-2.81476454224,4.19095158577e-08,0.060293772186199995,254.90624999999997,0.69220453248,-5.9523907981100005e-09,4.78591363823e-11,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,7200.0,0.0
C01,2024-10-13 03:00:00,-0.00038254540413600003,3.1166180747299996e-12,0.0,1.0,219.234375,7.71675000504e-09,-0.8472634094989999,6.86245039105e-06,0.00035362248309,-1.98050402105e-05,6493.42751122,10800.0,-2.6542693376500004e-08,-2.42686326716,1.4388933777799998e-07,0.05715251548880001,601.609375,0.30108559394900003,-6.582059883500001e-09,-1.0071848104300001e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,10800.0,0.0
C01,2024-10-13 04:00:00,-0.000382534344681,3.09707814949e-12,0.0,1.0,-343.953125,6.6502770107300006e-09,-0.576855991796,-1.14985741675e-05,0.000359379104339,-1.96406617761e-05,6493.4429645499995,14400.0,9.31322574615e-08,-2.0242053838,1.1269003152799999e-07,0.05708780915930001,605.609375,-0.109113447779,-5.6109480042200006e-09,-2.42510101519e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,14400.0,0.0
C01,2024-10-13 05:00:00,-0.000382523052394,3.11128900421e-12,0.0,1.0,-760.53125,4.320179952840001e-09,-0.309850114638,-2.4809967726500004e-05,0.00036772538442200004,-6.47082924843e-06,6493.46348381,18000.0,1.2246891856199998e-07,-1.63522146156,-3.39932739735e-08,0.0601137893749,207.515625,-0.502250380859,-3.4108563615700002e-09,-3.4322858256200004e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,18000.0,0.0
C01,2024-10-13 06:00:00,-0.000382511760108,3.1290525726e-12,0.0,1.0,-781.296875,1.87650673547e-09,-0.0484491594048,-2.5213230401300002e-05,0.000374087598175,1.1262483894800001e-05,6493.4788799299995,21600.0,2.4680048227300003e-08,-1.28034667247,-1.3317912816999998e-07,0.0656210849244,-338.484375,-0.8557111425920001,-1.06147278603e-09,-3.90016245742e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,21600.0,0.0
C01,2024-10-13 07:00:00,-0.000382500700653,3.10773629053e-12,0.0,1.0,-443.484375,6.4288392155299996e-12,0.213178802679,-1.4143995940700002e-05,0.00037521019112300003,2.40374356508e-05,6493.48172569,25200.0,-1.0104849934599999e-07,-0.964727714473,-1.07567757368e-07,0.0727261093801,-736.5,-1.17020139931,8.003904823330001e-10,-3.89301930274e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,25200.0,0.0
C01,2024-10-13 08:00:00,-0.000382489641197,3.0926372574e-12,0.0,1.0,61.90625,-1.2382658644600001e-09,0.481950756966,2.1466985344899998e-06,0.000371814821847,2.77026556432e-05,6493.47181129,28800.0,-1.8486753106099998e-07,-0.683642917066,-2.3283064365400003e-09,0.080593849583,-853.5937499999999,-1.45737489249,2.1279457803400003e-09,-3.4644300217000005e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,28800.0,0.0
C01,2024-10-13 09:00:00,-0.00038247834891100003,3.10418357685e-12,0.0,1.0,530.578125,-2.0568713912400003e-09,0.7560466578180001,1.7159152776e-05,0.000368143664673,2.29123979807e-05,6493.45823288,32400.000000000004,-2.1327286958699998e-07,-0.429504119782,1.0617077350599999e-07,0.0885577576318,-707.1875,-1.72300926639,3.05584157378e-09,-2.67153985179e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,32400.000000000004,0.0
C01,2024-10-13 10:00:00,-0.00038246705662500004,3.11928260999e-12,0.0,1.0,814.1718750000001,-2.6986838395900003e-09,1.02328234039,2.6275403797600004e-05,0.000367221306078,1.25924125314e-05,6493.4535160099995,36000.0,-1.98371708393e-07,-0.195311550733,1.47148966789e-07,0.09611567958100001,-387.578125,-1.96192503616,3.7412272657e-09,-1.5822087624900001e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,36000.0,0.0
C01,2024-10-13 11:00:00,-0.00038245588075400003,3.1166180747299996e-12,0.0,1.0,862.546875,-3.08369987705e-09,1.27602807832,2.79499217868e-05,0.000367733417079,1.29453837872e-07,6493.462251659999,39600.0,-1.21537595987e-07,0.0244672258782,1.4528632163999998e-07,0.10289311132800001,-1.171875,-2.17202611374,4.0676694347600005e-09,-4.82162941165e-11,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,39600.0,0.0
C01,2024-10-13 12:00:00,-0.00038244505412900003,3.0704327969e-12,0.0,1.0,722.546875,-3.12584448968e-09,1.52198232879,2.3613218218100002e-05,0.000367220956832,-1.1524185538300002e-05,6493.47695541,43200.0,-5.58793544769e-09,0.234004251994,1.35973095894e-07,0.10861080375600002,359.0,-2.36517944923,4.00266672714e-09,4.6787663179699995e-11,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,43200.0,0.0
C01,2024-10-13 13:00:00,-0.00038243376184300004,3.10063086317e-12,0.0,1.0,485.765625,-2.785473169e-09,1.7755358974,1.60844065249e-05,0.00036615564022200004,-2.01361253858e-05,6493.48526192,46800.0,1.0104849934599999e-07,0.43645236038100005,1.3969838619199998e-07,0.11306278970200001,622.765625,-2.55891849469,3.59657838335e-09,1.22862260563e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,46800.0,0.0
C01,2024-10-13 14:00:00,-0.000382422702387,3.0890845437199998e-12,0.0,1.0,231.53125,-2.1483037711900004e-09,2.04333929605,7.81705603004e-06,0.000367547734641,-2.44411639869e-05,6493.47949791,50400.0,1.60187482834e-07,0.63426808308,1.35973095894e-07,0.11610305531300001,750.890625,-2.7623328751,2.99369612803e-09,1.85007706314e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,50400.0,0.0
C01,2024-10-13 15:00:00,-0.00038241164293100003,3.07753822426e-12,0.0,1.0,-9.671875,-1.3747001189200003e-09,2.31739377145,-1.41561031342e-07,0.000372582580894,-2.4465378373900005e-05,6493.46359062,54000.0,1.70897692442e-07,0.829468983078,1.08499079943e-07,0.117637764634,746.734375,-2.96941822314,2.32223958774e-09,2.36438420038e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,54000.0,0.0
C01,2024-10-13 16:00:00,-0.000382400583476,3.0704327969e-12,0.0,1.0,-230.25000000000003,-6.125255141460001e-10,2.58794857083,-7.47153535485e-06,0.00037902535405000005,-2.11279839277e-05,6493.44645119,57600.0,1.60187482834e-07,1.02383301201,5.6810677051500005e-08,0.11762111955200001,640.859375,3.11100882386,1.6679266187e-09,2.76082928534e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,57600.0,0.0
C01,2024-10-13 17:00:00,-0.00038238952402000004,3.0828672947800002e-12,0.0,1.0,-422.96875,1.02861427448e-10,2.85249596003,-1.3901386410000002e-05,0.000383249367587,-1.5683472156500003e-05,6493.43611336,61200.0,1.35973095894e-07,1.21906380381,5.58793544769e-09,0.116053490185,472.671875,2.9134064268,1.0175423847200001e-09,3.01798285396e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,61200.0,0.0
C01,2024-10-13 18:00:00,-0.000382378464565,3.0722091537399996e-12,0.0,1.0,-574.25,7.828897533580001e-10,3.11525071721,-1.8937513232200003e-05,0.000382865429856,-9.232666343449999e-06,6493.437059399999,64800.00000000001,8.66129994392e-08,1.41694387735,-3.1664967536900005e-08,0.11298152021400001,276.84375,2.71498501505,3.28227957726e-10,3.12870175156e-10,0.0,980.0000000000001,0.0,2.0,0.0,-5.1999999861600005e-09,-9.7e-09,64800.00000000001,0.0
